Duration,Status,No. of previous failures,LENGTH,A_DIAM,Year,PRESSURE(bar),Failure Year,AADT (traffic) ( When failure occurred ),Mean Dew Point (deg. C) ( When failure occurred ),Mean Relative Humidity (%) ( When failure occurred ),Total Rainfall (mm) ( When failure occurred ),LANDUSE,LPR_Corros,A_MAT,TYPE,FAULT_TYPE,DEFECT1LV1,DEF_NATURE
24,1,0,78.976,200,1986,8.16,2010,28500,22.3,72,218.9,URBAN,Highly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
36,1,0,33.34,550,1979,4.83,2015,31130,25.3,80,489.1,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C05,J
24,1,0,2.731,450,1989,11.65,2013,26520,11.5,79,38.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
29,1,0,45.53,150,1986,4.73,2015,28160,24.9,83,389.5,RURAL,Non-Corrosive,DI,Other Location,BURST,C02,M
24,1,0,22.197,150,1992,7.1,2016,22340,22.8,77,179.5,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C03,M
25,1,0,53.069,200,1986,7.79,2011,12250,19.6,85,131.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C01,M
20,1,0,70.403,100,1990,7.09,2010,24160,17.6,82,39.2,URBAN,Mildly Corrosive,UPVC,FOOTWAY,BURST,C03,M
55,1,0,28.191,300,1956,8.38,2011,0,24.6,81,435.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C01,M
25,1,0,10.899,375,1990,6.03,2015,14940,22,74,193,URBAN,Non-Corrosive,DI,CARRIAGEWAY,BURST,C05,M
25,1,0,24.019,150,1989,6.54,2014,13840,16.8,69,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C02,M
26,1,0,2.757,150,1992,4.36,2018,23350,23,86,441.5,RURAL,Highly Corrosive,DI,FOOTWAY,BURST,C03,M
42,1,0,1.266,150,1968,6.79,2010,,19.2,72,22.7,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
29,1,0,26.994,700,1981,3.99,2010,,14.7,65,46.3,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
44,1,0,0.264,80,1966,6.89,2010,,13.3,80,24.6,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C01,M
4,1,0,1.727,200,2007,5.97,2011,,17.6,76,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C04,M
45,1,1,44.88,80,1966,7.85,2011,,22.4,81,186.7,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
10,1,0,1.056,100,2001,6.5,2011,,23.4,78,130,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C01,M
45,1,0,5.548,80,1966,6.75,2011,,25.3,83,,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
44,1,0,19.011,100,1966,6.2,2010,,15.2,90,107.5,URBAN,Highly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
20,1,1,48.38,100,1992,7.03,2012,,10.4,80,43.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
13,1,0,1.486,50,1999,1.84,2012,,15.8,83,22.1,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C01,M
31,1,1,10.855,150,1981,4.83,2012,,15,76,16.5,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C01,M
11,1,1,95.442,80,2000,7.71,2011,,6.2,66,4,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C02,J
1,1,0,1.548,150,2010,6.68,2011,,9.2,84,27.5,URBAN,Mildly Corrosive,S,FOOTWAY,LEAK,C01,M
54,1,0,1.106,1200,1958,6.6,2012,,24.8,78,124.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
22,1,0,47.805,800,1989,6.27,2011,,19.9,92,183,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
14,1,0,1.768,80,1996,5.22,2010,,25.1,85,229.5,RURAL,Non-Corrosive,DI,Other Location,LEAK,C01,M
19,1,0,3.178,150,1992,7.85,2011,,24.8,77,157.6,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C05,M
25,1,0,19.794,50,1985,5.24,2010,,17,64,20,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
5,1,0,0.863,100,2008,7.43,2013,,23,86,441.5,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C05,J
44,1,0,15.117,100,1966,11.97,2010,,24.1,75,163.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
28,1,0,7.47,700,1985,8,2013,,14.9,83,13.5,URBAN,Non-Corrosive,S,Other Location,LEAK,C01,M
19,1,0,2.05,100,1992,5.29,2011,,18.7,77,86.1,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C01,M
12,1,0,2.346,40,2001,7.24,2013,,22.5,81,456.5,RURAL,Highly Corrosive,PE,Other Location,LEAK,C01,M
54,1,0,28.724,80,1956,6.36,2010,,16.1,74,42.2,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C01,M
22,1,0,108.582,100,1991,0.96,2013,,25.1,84,,URBAN,Highly Corrosive,DI,Other Location,LEAK,C01,M
2,1,0,11.631,150,2011,7.85,2013,,25.1,85,436.3,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C05,M
12,1,0,0.854,150,2001,5.42,2013,,23.9,82,454.2,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C02,M
27,1,0,198.046,40,1985,8.46,2012,,12.1,79,32.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
18,1,0,7.816,150,1995,6.72,2013,,25.1,84,438.6,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
14,1,1,1.043,150,1999,2.07,2013,,23.2,87,,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
5,1,0,0.972,50,2006,7.18,2011,,22.4,81,186.7,URBAN,Mildly Corrosive,PE,Other Location,LEAK,C03,J
34,1,1,5.263,150,1977,5.21,2011,,10.7,65,18,URBAN,Mildly Corrosive,S,FOOTWAY,LEAK,C03,J
11,1,0,12.773,80,2000,6.89,2011,,25,84,437,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,J
1,1,1,2.031,100,2012,4.18,2013,,6.2,55,,URBAN,Mildly Corrosive,S,FOOTWAY,LEAK,C01,J
19,1,0,48.38,100,1992,7.03,2011,,24.9,79,168,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
11,1,0,44.203,600,2002,5.33,2013,,17.3,63,1,URBAN,Non-Corrosive,S,CARRIAGEWAY,LEAK,C01,M
17,1,0,4.654,80,1996,7.03,2013,,17.7,66,6,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C01,M
5,1,0,22.544,150,2008,5.21,2013,,14.9,70,33.5,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C04,M
29,1,0,10.507,150,1984,3.52,2013,,14.6,65,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C05,M
30,1,0,10.855,150,1981,4.83,2011,,19.6,76,81,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C03,M
20,1,0,2.94,50,1992,4.56,2012,,22.2,74,29.5,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
14,1,0,1.004,100,2000,4.91,2014,,15.7,83,207.6,URBAN,Mildly Corrosive,PE,CARRIAGEWAY,LEAK,C01,M
21,1,1,9.505,25,1993,7.02,2014,,17.5,92,93,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
26,1,0,1.305,50,1986,7.09,2012,,12.9,76,51.5,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C01,J
4,1,0,4.162,150,2010,7.17,2014,,23.3,86,465,URBAN,Highly Corrosive,DI,FOOTWAY,LEAK,C01,M
24,1,0,1.443,150,1988,3.6,2012,,11.9,82,42.1,URBAN,Non-Corrosive,DI,CARRIAGEWAY,LEAK,C03,M
7,1,1,1.912,40,2006,6.34,2013,,10.4,70,7.5,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
3,1,0,1.718,150,2009,1.76,2012,,13.1,85,29.5,URBAN,Mildly Corrosive,S,Other Location,LEAK,C01,M
10,1,0,10.523,40,2003,10.24,2013,,15.5,75,116,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,J
27,1,1,52.576,50,1985,5.58,2012,,19.6,76,294,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
13,1,0,1.043,150,1999,2.07,2012,,25,82,,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
10,1,0,95.442,80,2000,7.71,2010,,15.6,82,21.5,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,J
44,1,0,8.471,80,1966,6.89,2010,,24.4,85,474.9,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
20,1,0,2.246,80,1993,7.09,2013,,23.2,92,557.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C02,M
21,1,1,2.94,50,1992,4.56,2013,,6.3,60,131,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
27,1,0,52.576,50,1985,5.58,2012,,14,72,17.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
34,1,0,137.168,600,1978,6.27,2012,,24.7,80,636,URBAN,Mildly Corrosive,S,FOOTWAY,LEAK,C01,M
35,1,1,137.168,600,1978,6.27,2013,,15.8,78,136.5,URBAN,Mildly Corrosive,S,FOOTWAY,LEAK,C01,M
45,1,0,90.126,600,1966,2.54,2011,,6.4,64,5.5,RURAL,Mildly Corrosive,S,Other Location,LEAK,C05,J
9,1,0,16.587,100,2002,11.9,2011,,21.3,77,172.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C01,M
45,1,0,11.898,100,1966,11.83,2011,,21.3,77,172.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
20,1,0,2.975,150,1993,12.69,2013,,25.1,85,436.3,URBAN,Non-Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
29,1,0,112.891,200,1984,6.16,2013,,24.9,84,,URBAN,Non-Corrosive,S,FOOTWAY,LEAK,C05,M
23,1,0,1.877,150,1989,5.21,2012,,25.1,80,183,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
20,1,0,7.492,100,1992,6.84,2012,,23,75,213,URBAN,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C03,M
20,1,0,8.167,150,1992,5.36,2012,,20.4,74,46.4,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
23,1,0,2.174,150,1989,7.09,2012,,12.9,76,51.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C03,J
46,1,1,19.011,100,1966,6.2,2012,,11.1,83,39.5,URBAN,Highly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
18,1,0,14.183,80,1995,5.34,2013,,10.8,74,5.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
5,1,0,2.451,25,2008,10.9,2013,,10.5,71,,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,J
7,1,0,1.689,25,2006,12.17,2013,,16.1,83,,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
63,1,0,138.921,200,1950,1.76,2013,,11.3,71,3.4,RURAL,Mildly Corrosive,S,Other Location,LEAK,C01,M
5,1,0,117.543,150,2008,5.21,2013,,14.9,70,33.5,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C03,J
8,1,1,106.676,100,2004,3.49,2012,,24.1,85,260,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
7,1,0,8.026,25,2006,6.2,2013,,24.7,81,532,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C02,M
20,1,2,2.815,25,1993,6.68,2013,,23.1,94,581,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
20,1,2,48.38,100,1992,7.03,2012,,24.7,82,400.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
19,1,0,28.224,100,1993,6.95,2012,,23.1,94,564.5,RURAL,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,J
8,1,2,1.912,40,2006,6.34,2014,,7.9,65,0,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
12,1,0,0.499,80,2000,2.98,2012,,24.9,77,149.8,URBAN,Non-Corrosive,PE,FOOTWAY,LEAK,C01,M
37,1,0,5.223,900,1977,3.44,2014,,19.6,81,123.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
15,1,0,5.481,150,1997,5.4,2012,,12.9,76,51.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
18,1,0,9.914,80,1995,5.27,2013,,16.5,80,101,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
4,1,0,1.354,100,2009,7.09,2013,,18.5,85,236,URBAN,Non-Corrosive,PE,FOOTWAY,LEAK,C01,M
8,1,0,5.448,50,2005,7.65,2013,,23.1,88,,RURAL,Highly Corrosive,PE,Other Location,LEAK,C03,J
21,1,1,26.436,100,1992,7.64,2013,,25.3,83,445.4,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C01,M
18,1,0,65.785,80,1995,5.27,2013,,25.6,87,329.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
47,1,1,2.696,750,1966,7.02,2013,,23.2,79,451.5,URBAN,Non-Corrosive,S,CARRIAGEWAY,LEAK,C01,M
23,1,0,12.092,100,1990,5.46,2013,,24.5,80,318,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C03,J
21,1,0,1.433,150,1992,7.17,2013,,14.9,70,33.5,URBAN,Highly Corrosive,DI,CARRIAGEWAY,LEAK,C03,M
4,1,0,1.132,80,2010,7.78,2014,,12.3,82,39.5,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C01,M
2,1,0,0.578,100,2012,9.33,2014,,23.6,87,,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C05,J
21,1,0,17.738,100,1993,7.02,2014,,23.1,91,38,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C02,M
32,1,0,10.153,250,1982,5.15,2014,,25,78,239,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C03,M
